id,etch_run_id,pressure,pressure_unit,temp_chuck,temp_chuck_unit,bias_power,bias_power_unit,source_power,source_power_unit,gas_flow_total,gas_flow_total_unit,helium_backside_pressure,helium_backside_pressure_unit
75,RUN_L20260127_L1P1_0075_L01,27.9,mTorr,59.5,C,827,W,1217,W,299,sccm,9.6,Torr
76,RUN_L20260127_L1P1_0076_L02,30.7,mTorr,59.6,C,786,W,1159,W,303,sccm,9.8,Torr
77,RUN_L20260127_L1P1_0077_L02,30.1,mTorr,59.4,C,805,W,1204,W,306,sccm,10,Torr
78,RUN_L20260127_L1P1_0078_L02,29.8,mTorr,60.2,C,827,W,1237,W,306,sccm,9.9,Torr
79,RUN_L20260127_L1P1_0079_L01,30.1,mTorr,60.1,C,783,W,1212,W,298,sccm,9.6,Torr
80,RUN_L20260127_L1P1_0080_L01,28.4,mTorr,59.9,C,817,W,1210,W,302,sccm,10.5,Torr
81,RUN_L20260127_L1P1_0081_L01,29.8,mTorr,60.4,C,810,W,1139,W,307,sccm,10,Torr
82,RUN_L20260127_L1P1_0082_L02,30.3,mTorr,60.6,C,799,W,1175,W,308,sccm,10.5,Torr
83,RUN_L20260127_L1P1_0083_L02,31.2,mTorr,59.2,C,780,W,1262,W,296,sccm,9.7,Torr
84,RUN_L20260127_L1P1_0084_L02,29.6,mTorr,59.7,C,786,W,1182,W,303,sccm,9.9,Torr
85,RUN_L20260127_L1P1_0085_L01,29.4,mTorr,60.4,C,806,W,1238,W,302,sccm,10,Torr
86,RUN_L20260127_L1P1_0086_L01,29.6,mTorr,59.8,C,772,W,1182,W,305,sccm,10.4,Torr
87,RUN_L20260127_L1P1_0087_L01,30.7,mTorr,59.6,C,803,W,1192,W,306,sccm,10.5,Torr
88,RUN_L20260127_L1P1_0088_L02,30.3,mTorr,60.5,C,811,W,1215,W,295,sccm,9.8,Torr
89,RUN_L20260127_L1P1_0089_L02,29.6,mTorr,59.4,C,820,W,1203,W,297,sccm,9.8,Torr
90,RUN_L20260127_L1P1_0090_L02,30.4,mTorr,59.8,C,772,W,1211,W,305,sccm,10,Torr
91,RUN_L20260127_L1P1_0091_L01,30.1,mTorr,60.2,C,826,W,1175,W,301,sccm,10.3,Torr
92,RUN_L20260127_L1P1_0092_L01,30.8,mTorr,59.7,C,834,W,1166,W,289,sccm,10,Torr
93,RUN_L20260127_L1P1_0093_L01,29.4,mTorr,60.4,C,808,W,1173,W,292,sccm,10.1,Torr
94,RUN_L20260127_L1P1_0094_L02,29.7,mTorr,59.7,C,779,W,1184,W,303,sccm,10.3,Torr
95,RUN_L20260127_L1P1_0095_L02,29.7,mTorr,60.7,C,793,W,1193,W,304,sccm,10.3,Torr
96,RUN_L20260127_L1P1_0096_L02,28.8,mTorr,59.9,C,799,W,1231,W,293,sccm,10.3,Torr
97,RUN_L20260127_L1P1_0097_L01,30.2,mTorr,60.3,C,805,W,1203,W,305,sccm,10.2,Torr
98,RUN_L20260127_L1P1_0098_L01,30.2,mTorr,60.4,C,800,W,1215,W,299,sccm,10.4,Torr
99,RUN_L20260127_L1P1_0099_L01,30,mTorr,59.7,C,806,W,1204,W,295,sccm,9.6,Torr
100,RUN_L20260127_L1P1_0100_L02,29.8,mTorr,59,C,798,W,1167,W,297,sccm,10.7,Torr
101,RUN_L20260127_L1P1_0101_L02,28.9,mTorr,60.2,C,805,W,1201,W,294,sccm,10.3,Torr
102,RUN_L20260127_L1P1_0102_L02,29.7,mTorr,60,C,791,W,1204,W,297,sccm,10,Torr
103,RUN_L20260127_L1P1_0103_L01,29.7,mTorr,60.3,C,793,W,1223,W,291,sccm,10.3,Torr
104,RUN_L20260127_L1P1_0104_L01,29.4,mTorr,59.9,C,788,W,1168,W,300,sccm,9.9,Torr
105,RUN_L20260127_L1P1_0105_L01,29.9,mTorr,59.8,C,838,W,1139,W,303,sccm,10.1,Torr
106,RUN_L20260127_L1P1_0106_L02,30.3,mTorr,61,C,829,W,1205,W,293,sccm,10.2,Torr
107,RUN_L20260127_L1P1_0107_L02,31.5,mTorr,59.3,C,811,W,1211,W,300,sccm,10.3,Torr
108,RUN_L20260127_L1P1_0108_L02,30.1,mTorr,60.4,C,827,W,1195,W,296,sccm,9.9,Torr
109,RUN_L20260127_L1P1_0109_L01,30.2,mTorr,59.7,C,816,W,1201,W,303,sccm,10.3,Torr
110,RUN_L20260127_L1P1_0110_L01,29.9,mTorr,59.8,C,804,W,1226,W,288,sccm,9.9,Torr
111,RUN_L20260127_L1P1_0111_L01,28.5,mTorr,59.8,C,770,W,1186,W,304,sccm,10.2,Torr
112,RUN_L20260127_L1P1_0112_L02,30,mTorr,59.6,C,795,W,1192,W,291,sccm,10,Torr
113,RUN_L20260127_L1P1_0113_L02,30,mTorr,60.3,C,793,W,1202,W,299,sccm,9.5,Torr
114,RUN_L20260127_L1P1_0114_L02,32,mTorr,60.7,C,777,W,1163,W,296,sccm,9.8,Torr
115,RUN_L20260127_L1P1_0115_L01,29.8,mTorr,60.2,C,770,W,1195,W,298,sccm,10.3,Torr
116,RUN_L20260127_L1P1_0116_L01,30.2,mTorr,60.1,C,810,W,1198,W,292,sccm,9.9,Torr
117,RUN_L20260127_L1P1_0117_L01,30,mTorr,59.5,C,806,W,1249,W,308,sccm,10.4,Torr
118,RUN_L20260127_L1P1_0118_L02,29.1,mTorr,60.3,C,777,W,1191,W,294,sccm,9.6,Torr
119,RUN_L20260127_L1P1_0119_L02,30.9,mTorr,61.1,C,785,W,1206,W,294,sccm,10.2,Torr
120,RUN_L20260127_L1P1_0120_L02,30.6,mTorr,59.8,C,823,W,1228,W,309,sccm,10,Torr
121,RUN_L20260127_L1P1_0121_L01,30.6,mTorr,59.8,C,782,W,1175,W,302,sccm,9.9,Torr
122,RUN_L20260127_L1P1_0122_L01,29.3,mTorr,59.7,C,803,W,1241,W,294,sccm,9.6,Torr
123,RUN_L20260127_L1P1_0123_L01,31.1,mTorr,59.8,C,796,W,1253,W,299,sccm,10.1,Torr
124,RUN_L20260127_L1P1_0124_L02,28.9,mTorr,58.6,C,810,W,1199,W,299,sccm,9.7,Torr
125,RUN_L20260127_L1P1_0125_L02,30.5,mTorr,60.2,C,783,W,1184,W,292,sccm,9.8,Torr
126,RUN_L20260127_L1P1_0126_L02,31.8,mTorr,59.6,C,802,W,1249,W,296,sccm,10,Torr
127,RUN_L20260127_L1P1_0127_L01,29.2,mTorr,59.2,C,803,W,1224,W,300,sccm,9.9,Torr
128,RUN_L20260127_L1P1_0128_L01,29.5,mTorr,60.4,C,805,W,1202,W,306,sccm,10.3,Torr
129,RUN_L20260127_L1P1_0129_L01,30.1,mTorr,59.5,C,802,W,1243,W,299,sccm,9.2,Torr
130,RUN_L20260127_L1P1_0130_L02,29.6,mTorr,59.8,C,807,W,1240,W,299,sccm,9.9,Torr
131,RUN_L20260127_L1P1_0131_L02,28.8,mTorr,60.7,C,844,W,1190,W,296,sccm,9.9,Torr
132,RUN_L20260127_L1P1_0132_L02,30.1,mTorr,59.3,C,851,W,1207,W,305,sccm,10,Torr
133,RUN_L20260127_L1P1_0133_L01,29.2,mTorr,59.2,C,787,W,1217,W,305,sccm,9.8,Torr
134,RUN_L20260127_L1P1_0134_L01,30.4,mTorr,60.1,C,754,W,1201,W,304,sccm,10.3,Torr
135,RUN_L20260127_L1P1_0135_L01,29.3,mTorr,60.6,C,812,W,1158,W,301,sccm,9.9,Torr
136,RUN_L20260127_L1P1_0136_L02,31.2,mTorr,59.2,C,804,W,1172,W,292,sccm,10,Torr
137,RUN_L20260127_L1P1_0137_L02,29.4,mTorr,60.2,C,821,W,1159,W,305,sccm,10.3,Torr
138,RUN_L20260127_L1P1_0138_L02,29.7,mTorr,60.3,C,806,W,1215,W,300,sccm,10,Torr
139,RUN_L20260127_L1P1_0139_L01,30.7,mTorr,59,C,801,W,1164,W,298,sccm,9.6,Torr
140,RUN_L20260127_L1P1_0140_L01,29,mTorr,60.4,C,823,W,1206,W,302,sccm,9.9,Torr
141,RUN_L20260127_L1P1_0141_L01,30.2,mTorr,60.4,C,825,W,1255,W,301,sccm,10,Torr
142,RUN_L20260127_L1P1_0142_L02,31,mTorr,59.8,C,772,W,1243,W,295,sccm,9.5,Torr
143,RUN_L20260127_L1P1_0143_L02,28.7,mTorr,60.6,C,784,W,1145,W,298,sccm,9.8,Torr
144,RUN_L20260127_L1P1_0144_L02,30.1,mTorr,60.6,C,798,W,1162,W,290,sccm,10,Torr
145,RUN_L20260127_L1P1_0145_L01,30.2,mTorr,60.1,C,802,W,1177,W,300,sccm,10.6,Torr
146,RUN_L20260127_L1P1_0146_L01,30.6,mTorr,59.8,C,795,W,1165,W,307,sccm,10.1,Torr
147,RUN_L20260127_L1P1_0147_L01,29,mTorr,59.5,C,809,W,1150,W,291,sccm,10,Torr
148,RUN_L20260127_L1P1_0148_L02,28.9,mTorr,60,C,820,W,1200,W,301,sccm,10.5,Torr
149,RUN_L20260127_L1P1_0149_L02,30.4,mTorr,60.3,C,834,W,1221,W,303,sccm,10.2,Torr
150,RUN_L20260127_L1P1_0150_L02,30.2,mTorr,59.8,C,812,W,1229,W,304,sccm,10.2,Torr
151,RUN_L20260127_L1P1_0151_L01,30.2,mTorr,58.9,C,783,W,1186,W,296,sccm,9.9,Torr
152,RUN_L20260127_L1P1_0152_L01,30.3,mTorr,60.6,C,797,W,1192,W,294,sccm,9.6,Torr
153,RUN_L20260127_L1P1_0153_L01,29.5,mTorr,60.1,C,798,W,1211,W,297,sccm,10.1,Torr
154,RUN_L20260127_L1P1_0154_L02,30.2,mTorr,59.8,C,810,W,1197,W,306,sccm,10.5,Torr
155,RUN_L20260127_L1P1_0155_L02,30.2,mTorr,60.4,C,808,W,1224,W,291,sccm,10.5,Torr
156,RUN_L20260127_L1P1_0156_L02,29.4,mTorr,60.8,C,841,W,1213,W,294,sccm,10.2,Torr
157,RUN_L20260127_L1P1_0157_L01,31.5,mTorr,58.6,C,791,W,1189,W,298,sccm,9.8,Torr
158,RUN_L20260127_L1P1_0158_L01,30.4,mTorr,60.2,C,808,W,1144,W,295,sccm,9.5,Torr
159,RUN_L20260127_L1P1_0159_L01,29,mTorr,59.3,C,847,W,1245,W,300,sccm,9.8,Torr
160,RUN_L20260127_L1P1_0160_L02,30.5,mTorr,60.2,C,788,W,1179,W,307,sccm,10.1,Torr
161,RUN_L20260127_L1P1_0161_L02,29.2,mTorr,60.1,C,803,W,1211,W,294,sccm,9.9,Torr
162,RUN_L20260127_L1P1_0162_L02,30.6,mTorr,60.3,C,781,W,1143,W,299,sccm,10.3,Torr
163,RUN_L20260127_L1P1_0163_L01,30.9,mTorr,59.8,C,802,W,1200,W,300,sccm,9.6,Torr
164,RUN_L20260127_L1P1_0164_L01,29.3,mTorr,59.1,C,784,W,1203,W,298,sccm,10,Torr
165,RUN_L20260127_L1P1_0165_L01,30.8,mTorr,59.8,C,821,W,1204,W,292,sccm,9.8,Torr
166,RUN_L20260127_L1P1_0166_L02,30.3,mTorr,60.2,C,803,W,1290,W,297,sccm,10.3,Torr
167,RUN_L20260127_L1P1_0167_L02,30.7,mTorr,60.5,C,781,W,1181,W,297,sccm,10.2,Torr
168,RUN_L20260127_L1P1_0168_L02,31.5,mTorr,59.4,C,817,W,1225,W,303,sccm,9.8,Torr
169,RUN_L20260127_L1P1_0169_L01,29.8,mTorr,60.5,C,804,W,1216,W,302,sccm,10.3,Torr
170,RUN_L20260127_L1P1_0170_L01,29.4,mTorr,59.7,C,819,W,1180,W,292,sccm,9.5,Torr
171,RUN_L20260127_L1P1_0171_L01,29.3,mTorr,60.2,C,777,W,1224,W,298,sccm,9.5,Torr
172,RUN_L20260127_L1P1_0172_L02,29.3,mTorr,59.7,C,807,W,1195,W,297,sccm,9.7,Torr
173,RUN_L20260127_L1P1_0173_L02,29.9,mTorr,60.1,C,815,W,1226,W,310,sccm,9.4,Torr
174,RUN_L20260127_L1P1_0174_L02,30.3,mTorr,60.4,C,792,W,1259,W,301,sccm,10,Torr
175,RUN_L20260127_L1P1_0175_L01,30.2,mTorr,59.4,C,775,W,1205,W,295,sccm,10,Torr
176,RUN_L20260127_L1P1_0176_L01,30.7,mTorr,59.7,C,799,W,1192,W,296,sccm,9.9,Torr
177,RUN_L20260127_L1P1_0177_L01,30,mTorr,60.1,C,825,W,1232,W,298,sccm,10.2,Torr
178,RUN_L20260127_L1P1_0178_L02,31.2,mTorr,61.2,C,823,W,1242,W,302,sccm,9.8,Torr
179,RUN_L20260127_L1P1_0179_L02,29.8,mTorr,59.6,C,791,W,1174,W,302,sccm,9.6,Torr
180,RUN_L20260127_L1P1_0180_L02,32.2,mTorr,61,C,774,W,1186,W,301,sccm,9.8,Torr
181,RUN_L20260127_L1P1_0181_L01,30.5,mTorr,61,C,791,W,1220,W,299,sccm,9.6,Torr
182,RUN_L20260127_L1P1_0182_L01,29.3,mTorr,60,C,791,W,1196,W,299,sccm,9.8,Torr
183,RUN_L20260127_L1P1_0183_L01,29.1,mTorr,59.9,C,809,W,1171,W,299,sccm,10.2,Torr
184,RUN_L20260127_L1P1_0184_L02,30.4,mTorr,59.7,C,798,W,1216,W,291,sccm,9.5,Torr
185,RUN_L20260127_L1P1_0185_L02,29.8,mTorr,60,C,785,W,1220,W,300,sccm,9.9,Torr
186,RUN_L20260127_L1P1_0186_L02,30.6,mTorr,59.3,C,822,W,1190,W,297,sccm,10.3,Torr
187,RUN_L20260127_L1P1_0187_L01,30.4,mTorr,60,C,803,W,1202,W,292,sccm,10.3,Torr
188,RUN_L20260127_L1P1_0188_L01,29.9,mTorr,60.7,C,809,W,1183,W,312,sccm,9.8,Torr
189,RUN_L20260127_L1P1_0189_L01,29.3,mTorr,59.7,C,766,W,1167,W,302,sccm,10.7,Torr
190,RUN_L20260127_L1P1_0190_L02,28.8,mTorr,59.9,C,752,W,1185,W,300,sccm,9.7,Torr
191,RUN_L20260127_L1P1_0191_L02,29.6,mTorr,59.1,C,771,W,1202,W,298,sccm,9.9,Torr
192,RUN_L20260127_L1P1_0192_L02,30.7,mTorr,60.2,C,790,W,1156,W,304,sccm,9.6,Torr
193,RUN_L20260127_L1P1_0193_L01,30.2,mTorr,60.1,C,812,W,1187,W,294,sccm,10.1,Torr
194,RUN_L20260127_L1P1_0194_L01,29,mTorr,60,C,753,W,1203,W,298,sccm,10.8,Torr
195,RUN_L20260127_L1P1_0195_L01,30.1,mTorr,59.9,C,832,W,1236,W,295,sccm,10.6,Torr
196,RUN_L20260127_L1P1_0196_L02,30.3,mTorr,59.9,C,803,W,1191,W,304,sccm,10.3,Torr
197,RUN_L20260127_L1P1_0197_L02,29.3,mTorr,60.3,C,827,W,1163,W,296,sccm,9.8,Torr
198,RUN_L20260127_L1P1_0198_L02,30.1,mTorr,60,C,782,W,1194,W,306,sccm,9.9,Torr
199,RUN_L20260127_L1P1_0199_L01,30,mTorr,60.2,C,810,W,1183,W,300,sccm,10.3,Torr
200,RUN_L20260127_L1P1_0200_L01,29.1,mTorr,60.1,C,802,W,1217,W,304,sccm,10.2,Torr
201,RUN_L20260127_L1P1_0201_L01,30.3,mTorr,60.6,C,816,W,1190,W,302,sccm,10,Torr
202,RUN_L20260127_L1P1_0202_L02,30.4,mTorr,60.3,C,795,W,1119,W,305,sccm,10,Torr
203,RUN_L20260127_L1P1_0203_L02,30.9,mTorr,60.1,C,809,W,1311,W,295,sccm,10.3,Torr
204,RUN_L20260127_L1P1_0204_L02,30.8,mTorr,60.8,C,822,W,1204,W,305,sccm,10.4,Torr
205,RUN_L20260127_L1P1_0205_L01,28.9,mTorr,60.2,C,787,W,1203,W,291,sccm,9.5,Torr
206,RUN_L20260127_L1P1_0206_L01,29.2,mTorr,60.7,C,805,W,1154,W,300,sccm,10.1,Torr
207,RUN_L20260127_L1P1_0207_L01,30.4,mTorr,60.3,C,762,W,1156,W,297,sccm,10.2,Torr
208,RUN_L20260127_L1P1_0208_L02,30.4,mTorr,59.1,C,814,W,1197,W,293,sccm,9.8,Torr
209,RUN_L20260127_L1P1_0209_L02,30.4,mTorr,60.7,C,839,W,1210,W,296,sccm,10.4,Torr
210,RUN_L20260127_L1P1_0210_L02,33.1,mTorr,60.1,C,775,W,1221,W,297,sccm,9.9,Torr
211,RUN_L20260127_L1P1_0211_L01,30.5,mTorr,60,C,798,W,1207,W,299,sccm,10.4,Torr
212,RUN_L20260127_L1P1_0212_L01,30.9,mTorr,60.1,C,818,W,1164,W,297,sccm,9.9,Torr
213,RUN_L20260127_L1P1_0213_L01,30.8,mTorr,59.8,C,801,W,1125,W,300,sccm,10.1,Torr
214,RUN_L20260127_L1P1_0214_L02,30.5,mTorr,60.1,C,803,W,1197,W,296,sccm,10.1,Torr
215,RUN_L20260127_L1P1_0215_L02,29.7,mTorr,59.7,C,792,W,1184,W,298,sccm,10.5,Torr
216,RUN_L20260127_L1P1_0216_L02,30.6,mTorr,60.6,C,791,W,1162,W,299,sccm,10.2,Torr
217,RUN_L20260127_L1P1_0217_L01,29.4,mTorr,59.9,C,798,W,1225,W,301,sccm,9.9,Torr
218,RUN_L20260127_L1P1_0218_L01,29.8,mTorr,59.8,C,801,W,1153,W,304,sccm,9.9,Torr
219,RUN_L20260127_L1P1_0219_L01,29.6,mTorr,59.5,C,776,W,1219,W,304,sccm,9.9,Torr
220,RUN_L20260127_L1P1_0220_L02,30.1,mTorr,60.1,C,799,W,1158,W,301,sccm,10,Torr
221,RUN_L20260127_L1P1_0221_L02,31.9,mTorr,60.1,C,831,W,1204,W,302,sccm,9.7,Torr
222,RUN_L20260127_L1P1_0222_L02,28.5,mTorr,60.2,C,792,W,1228,W,302,sccm,10,Torr
223,RUN_L20260127_L1P1_0223_L01,30.5,mTorr,59.5,C,775,W,1190,W,298,sccm,10.4,Torr
224,RUN_L20260127_L1P1_0224_L01,28.7,mTorr,59.2,C,797,W,1251,W,305,sccm,10.4,Torr
225,RUN_L20260127_L1P1_0225_L01,29.6,mTorr,60.3,C,786,W,1258,W,295,sccm,9.5,Torr
226,RUN_L20260127_L1P1_0226_L02,30.9,mTorr,60.7,C,773,W,1207,W,290,sccm,9.5,Torr
227,RUN_L20260127_L1P1_0227_L02,30.1,mTorr,59.5,C,803,W,1216,W,295,sccm,9.8,Torr
228,RUN_L20260127_L1P1_0228_L02,29.1,mTorr,60.8,C,786,W,1232,W,307,sccm,9.5,Torr
229,RUN_L20260127_L1P1_0229_L01,29.4,mTorr,60.1,C,788,W,1216,W,299,sccm,9.6,Torr
230,RUN_L20260127_L1P1_0230_L01,30.5,mTorr,60,C,803,W,1213,W,301,sccm,10.1,Torr
231,RUN_L20260127_L1P1_0231_L01,29.4,mTorr,59.8,C,769,W,1184,W,299,sccm,10,Torr
232,RUN_L20260127_L1P1_0232_L02,30.2,mTorr,59.3,C,765,W,1149,W,303,sccm,9.5,Torr
